Candidate_SLEOP_ID,Candidate_SLEOP_UUID,CandidateFullname,CandidateFirstName,CandidateOtherNames,CandidateSurname,CandidatePoliticalPartyID,CandidatePoliticalParty,CandidatePoliticalPartyLongName,CandidatePoliticalPartyColor,CandidatePoliticalPartyLogo,SLEOP_ID,SLOEDP_UUID,ElectionDate,ElectionType,ResultType,ElectionRegion,ElectionDistrict,ElectionConstituency,ElectionWard,ElectionPollingCentre,ValidVotes,ValidVotesPercent,ElectionRound,ResultStatus,Winner
33,8db3e207-7f16-4c2e-a783-94b8136fead7,"Samura Mathew Wilson Kamara",Samura,"Mathew Wilson",Kamara,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,757,1d535817-a489-475e-ae14-298aaeef912f,2018,Presidential,"Regional Results",Western,,,,,"447,197",60.48,"Round 2","Certified Results",Yes
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,9298,e85ebc5a-b167-48ea-95c8-ecd6aac8ed58,2007,Presidential,"Regional Results",Northern,,,,,"431,896",76.75,"Round 1","Certified Results",Yes
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,1686,1e93dd86-7573-4e76-852b-2bff0c5874bb,2018,Presidential,"Regional Results",Southern,,,,,"428,396",82.71,"Round 1","Certified Results",Yes
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,356,81d1c97f-6b60-414e-929e-a29c8fbb935d,2002,Presidential,"National Results",,,,,,"426,405",22.35,"Round 1","Provisional Results",No
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,750,113fa4e0-c96f-4cea-9773-56083f159323,2018,Presidential,"Regional Results",Eastern,,,,,"422,557",84.88,"Round 2","Certified Results",Yes
49,91b27537-979d-426c-ba8a-c3abc330b9f4,"John Karefa-Smart",John,,Karefa-Smart,32,UNPP,"United National People's Party",cccc00,/sites/default/files/party-logos/unpp-party.jpg,51,6e6799d9-e0cb-4678-8139-9cf5a8b82cf2,1996,Presidential,"National Results",,,,,,"419,099",41.00,"Round 2","Provisional Results",No
33,8db3e207-7f16-4c2e-a783-94b8136fead7,"Samura Mathew Wilson Kamara",Samura,"Mathew Wilson",Kamara,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,1749,c63e64c4-8fdb-4866-8b0a-24788096775e,2018,Presidential,"Regional Results",Western,,,,,"418,653",57.18,"Round 1","Certified Results",Yes
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,9103,270ebce1-b31c-497e-a271-b74a126c0aff,2012,Presidential,"Regional Results",Western,,,,,"416,480",72.11,"Round 1","Certified Results",Yes
33,8db3e207-7f16-4c2e-a783-94b8136fead7,"Samura Mathew Wilson Kamara",Samura,"Mathew Wilson",Kamara,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,751,04665da1-d61b-4567-8824-89a63bd91683,2018,Presidential,"Regional Results",Northern,,,,,"350,328",82.67,"Round 2","Certified Results",Yes
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,9120,0de03d9e-9f48-485b-aa35-4545397bb70c,2012,Presidential,"Regional Results",Southern,,,,,"344,399",74.30,"Round 1","Certified Results",Yes
